"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Integrative Multi-Modal Framework for Enhanced Cervical Cancer Diagnosis Using Semi-Supervised Deep Learning","https://scispace.com/paper/integrative-multi-modal-framework-for-enhanced-cervical-ft35aas0t497","2025","Proceedings Article","","Dr. Ch. Venkata
Ramana Reddy
Dr G RaviKanth
N. V. Vishnu
Murthy Ravipati","10.1109/icpeev67897.2025.11291564","","This work suggests an innovative integrative framework to promote cervical cancer diagnosis through the fusion of histopathological images, genomic profiles, and clinical information by using a semi-supervised deep learning framework. Utilizing multi-modal data fusion, the framework enhances performance even in limited-labeled-data scenarios, which supports scalability and flexibility. The system applies a layer-wise fusion approach that allows end-to-end representation learning, hence enhancing robustness and generalizability. Experimental validation exhibits dramatic improvements, with the model registering a 95.88% diagnostic accuracy, sensitivity of 96%, and specificity of 94%. Further, its Area Under the Curve (AUC) of 0.98 is testament to its high discriminative ability. These results highlight the potential of the framework in providing customized, data-based clinical assistance, with impressive enhancements in early diagnosis and treatment planning. Aside from cervical cancer, this methodology offers a scalable diagnostic template for other complicated illnesses, providing a new standard for multi-modal fusion in medical AI.","This study proposes an integrative framework combining histopathological images, genomic profiles, and clinical data using semi-supervised deep learning, achieving 95.88% diagnostic accuracy, 96% sensitivity, and 94% specificity in cervical cancer diagnosis with high discriminative ability."
"Artificial Intelligence for Early Breast Cancer Detection","https://scispace.com/paper/artificial-intelligence-for-early-breast-cancer-detection-1gdfoh41co3y","2025","Journal Article","","Vikash Deendyal
Lilit Ghazaryan
Erica Linden
Lisa Allen
Nikhil G. Thaker","10.1089/aipo.2024.0051","","Breast cancer remains the most prevalent cancer among women globally, imposing significant economic and human burdens. Early detection is pivotal for improving patient outcomes and reducing treatment costs. This review explores the transformative role of artificial intelligence (AI) in the early detection of breast cancer, highlighting its integration into various aspects of health care. AI, particularly through ML and DL algorithms, enhances the accuracy and efficiency of imaging modalities such as mammography, ultrasound, and magnetic resonance imaging by identifying subtle abnormalities and personalizing risk assessments. Advanced AI models such as convolutional neural networks (CNNs) and vision transformers (ViTs) have demonstrated superior performance in analyzing complex medical images, leading to earlier diagnoses and reduced false positives and negatives. Additionally, AI-driven liquid biopsies offer minimally invasive alternatives for detecting circulating tumor DNA and other biomarkers, further advancing early detection capabilities. The review also addresses the diverse data types utilized in breast oncology, including electronic health records, digital pathology, radiomics, genomics, proteomics, and metabolomics, emphasizing the potential of multi-omic approaches for comprehensive cancer profiling. However, the clinical integration of AI faces challenges such as data quality, interoperability, workflow alignment, and ethical concerns including bias and data privacy. Future directions include the development of explainable AI models, digital twin technologies, implementation beyond detecting including clinical decision support, and the incorporation of multi-modal data to enhance diagnostic precision and personalized medicine. By addressing these challenges through multi-disciplinary collaboration, AI holds the promise of revolutionizing early breast cancer detection, ultimately improving patient outcomes and reducing the global burden of this pervasive disease.",""
"AI in Cancer Detection: Early Identification of Esophageal and Skin Cancers in the United States","https://scispace.com/paper/ai-in-cancer-detection-early-identification-of-esophageal-iqgp1118be0e","2025","Journal Article","Scholars journal of applied medical sciences","Pramod Chaudhary","10.36347/sjams.2025.v13i02.040","","Esophageal and skin cancers are among the most challenging malignancies, with early detection critical for improving survival rates and reducing healthcare costs. This paper explores the role of artificial intelligence (AI) in the early detection of these cancers in the United States, synthesizing methodologies from two key studies. For esophageal cancer, advanced machine learning techniques like Random Forest and XGBoost are employed to analyze multimodal data, including medical imaging, electronic health records (EHRs), and genomic profiles, achieving 92% accuracy in detecting early-stage cancer. For skin cancer, convolutional neural networks (CNNs) are used to analyze dermoscopic images, achieving an 87% accuracy in identifying malignant lesions. The study highlights the design and implementation of AI-driven models, covering data preprocessing, feature engineering, and evaluation metrics while addressing challenges such as class imbalance and overfitting. The results demonstrate AI's potential to enhance diagnostic accuracy, scalability, and accessibility, particularly in underserved areas. However, data privacy, algorithm interpretability, and regulatory compliance must be addressed to integrate AI into healthcare systems fully. This paper asserts that AI-driven diagnostics hold immense promise for revolutionizing cancer detection and calls for further research to overcome existing limitations while ensuring equitable access to these transformative technologies, ultimately improving patient outcomes and reshaping the landscape of cancer care. ","This study explores AI's role in early cancer detection in the US, achieving 92% accuracy in esophageal cancer and 87% in skin cancer using machine learning and CNNs, highlighting AI's potential to enhance diagnostic accuracy and accessibility."
"An Empirical Analysis of Transformer-Based and Convolutional Neural Network Approaches for Early Detection and Diagnosis of Cancer Using Multimodal Imaging and Genomic Data","https://scispace.com/paper/an-empirical-analysis-of-transformer-based-and-convolutional-4tkdyztx7anh","2024","Journal Article","IEEE Access","S Sangeetha
Sandeep Kumar Mathivanan
V. Muthukumaran
Jaehyuk Cho
V E Sathishkumar","10.1109/access.2024.3524564","","Early diagnosis of cancer has focused on the use of advanced algorithms to achieve accurate diagnosis. The proposed study assesses the effectiveness of Transformer-based models and Convolutional Neural Networks (CNN) in cancer diagnosis with respect to multimodal imaging and genomic data. The performance comparisons between the two algorithmic methods with such complex datasets, which combine multi-modal imaging and genomic information, are presented. In search of the optimal neural network configuration, a series of experiments were conducted with respect to different layers, attention mechanisms in case of transformers, and convolutional architectures in case of CNNs. Besides, parameters related to training, such as learning rates, batch sizes, and optimization algorithms, have also been systematically tuned. The different models were evaluated against accuracy, precision, recall, and the F1-score. Our results show that the proposed multimodal model, with accuracy from 92.5 to 93.2, F1-scores between 91.5 and 92.2, precision of 91.5 to 92.2, and recall values of 92.5 to 93.2. In contrast, much lower accuracy, F1-scores, precision, and recall values were noticed when using baselines, especially VGG. All these findings indicate the fact that the presented techniques, especially the Multimodal and Transformer models, are more robust solutions for classification tasks with better balance between precision and recall, as well as with higher overall accuracy. This came with the cost of the expense of computational resources: CNNs are less resource-intensive but have competitive performance with better precision and recall. The results underline how algorithm selection and hyperparameter optimization play a crucial role in cancer detection tasks. This study has shown how state-of-the-art deep learning methods can be effectively combined with multi-modal data for building more accurate and efficient systems in cancer diagnosis. Two main lines of future work would be improving these algorithms and understanding their applicability in real clinical practice to obtain maximum benefits from them.","This study compares Transformer-based and Convolutional Neural Network (CNN) models for cancer diagnosis using multimodal imaging and genomic data, finding that multimodal models with Transformers achieve higher accuracy (92.5-93.2%) and better precision/recall balance than CNNs and VGG baselines."
"Artificial Intelligence in Cancer Detection : A New Era of Precision Diagnostics","https://scispace.com/paper/artificial-intelligence-in-cancer-detection-a-new-era-of-dsdslb8bkek1","2025","Journal Article","International journal of scientific research in computer science, engineering and information technology","Naga Lakshmi","10.32628/cseit251117123","","Artificial intelligence has revolutionized cancer detection by integrating advanced computational techniques with medical imaging and clinical data analysis. AI-driven diagnostic systems employ a systematic methodology encompassing data acquisition, image preprocessing, region of interest segmentation, feature extraction through convolutional neural networks, and sophisticated classification algorithms. These systems analyze diverse imaging modalities including mammograms, CT scans, MRI, colposcopic, and histopathological images, often achieving diagnostic accuracies exceeding 90% that match or surpass experienced clinicians. The integration of multimodal data combining imaging with genetic profiles, biomarkers, and patient histories enhances diagnostic precision and enables personalized risk assessment. AI's scalability addresses critical healthcare disparities by democratizing expert-level screening in underserved regions lacking specialized medical infrastructure. Despite challenges in data standardization, algorithmic interpretability, and regulatory approval, rigorous validation through cross-validation and clinical trials ensures safety and efficacy. AI represents a transformative partnership with human expertise, promising earlier detection, improved accuracy, and reduced global cancer mortality through accessible, consistent, and precise diagnostic capabilities. ",""
"Cancer genomics and ai: creating ai models to identify genomic alterations in cancer, enhancing early detection and personalized treatment strategies","https://scispace.com/paper/cancer-genomics-and-ai-creating-ai-models-to-identify-7x3ebq4nuhjv","2025","Repository","","EMINOV Ravshanjon Ikromjon Ugli","10.5281/zenodo.14759505","","The integration of artificial intelligence (AI) and cancer genomics has transformed precision oncology, enabling early detection and personalized treatment strategies. AI techniques, including machine learning and deep learning, analyze complex genomic data to uncover mutations and identify biomarkers. These approaches enhance early cancer detection through tools like liquid biopsies and optimize personalized treatments by predicting drug responses and refining immunotherapy. Despite significant advancements, challenges such as data privacy, model interpretability, and clinical integration remain. Future efforts focus on interdisciplinary collaboration, explainable AI, and federated learning to overcome these hurdles and further revolutionize cancer care ",""
"Early Prediction and Risk Analysis Using Hybrid Deep Learning Techniques in Multimodal Biomedical Image","https://scispace.com/paper/early-prediction-and-risk-analysis-using-hybrid-deep-9mltpuh2vb0w","2025","Journal Article","Developmental Neurobiology","V. Anoop
B. Radhakrishnan
Anoop Balakrishnan Kadan","10.1002/dneu.23001","","ABSTRACT Medical imaging plays a pivotal role in diagnosing and treating various health conditions, especially in early‐stage cancer detection. Despite advancements in imaging techniques, the complexity and variability of multimodal medical images, such as MRI and CT scans, pose challenges for accurate diagnosis. Traditional methods often struggle with combining these heterogeneous data sources effectively, limiting the ability to provide timely and precise predictions for early cancer detection. This study proposes a hybrid deep learning framework that integrates multimodal image fusion techniques to improve early cancer prediction. The primary objective of this work is to develop an efficient model that can process diverse medical images, extract meaningful features, and provide accurate classifications for identifying cancerous regions. The techniques employed include Gaussian smoothing for image pre‐processing, feature extraction using ORB (Oriented FAST and Rotated BRIEF) for handcrafted features, and the InceptionV4 network for deep learning‐based feature extraction. The final stage involves classification using Sparse Logistic Regression and the MS‐GWNN classifier, designed to predict the malignancy stage of tumors. The experimental results demonstrate that the proposed approach significantly outperforms traditional methods, achieving a classification accuracy of 93.4%, sensitivity of 91.8%, and specificity of 92.5%. These metrics show superior performance in early detection and risk assessment, especially for high‐risk cancer cases. The model is validated using TCIA dataset and displays robust fusion capabilities, leading to high‐quality and reliable predictions. Future work will explore the integration of additional imaging modalities, real‐time applications for clinical settings, and optimization of fusion strategies. Furthermore, incorporating explainable AI (XAI) can improve the interpretability of the model, enhancing its usability in clinical practice. ","This study proposes a hybrid deep learning framework for early cancer prediction using multimodal medical images, achieving 93.4% classification accuracy, 91.8% sensitivity, and 92.5% specificity, outperforming traditional methods and demonstrating robust fusion capabilities."
"IDMap: Leveraging AI and Data Technologies for Early Cancer Detection","https://scispace.com/paper/idmap-leveraging-ai-and-data-technologies-for-early-cancer-5v1vmg6sh0uv","2024","Journal Article","International Journal of scientific research and management","Sabira Arefin","10.18535/ijsrm/v12i08.mp03","","Cancer screening is vital in cutting mortality rates, and containing the impact of cancer in a worldwide basis. The current conventional detection techniques including imaging and biopsy though efficient are also characterized with drawbacks like; invasive, expensive, and inaccurate. This abstract will describe the new AI and data solution in the fight against early cancer detection, which presents a massive opportunity to improve accuracy, cut down the time that it takes to deliver a diagnosis, and bring quality health care to possibly millions of patients. ML and, in particular, DL are prospective in terms of decision making upon medical data including imaging, genomic sequences, and electronic health records to detect biomarkers of cancer in early stages. The statistics show that the AI-driven systems are capable to provide better diagnostic outcomes than conventional methods in some fields including mammography for breast cancer and CT for lung. Moreover, AI’s integration in genomic studies helps in determining Cancer related genes and biomarkers hence supporting precision medicine that adapts treatment to the specific genetic information of the patient. Apart from having outlets in AI, big data analytics, cloud computing, and IoT are equally important in early cancer detection as well. Big data analysis enables the analysis of large and complicated data sets with the aid of which one may identify inklings that may point towards possible early development of cancer. The use of cloud computing in health care mainly provides meaningful platforms for the storage and management of the large volumes of medical data in a way that allows improved efficiency and high levels of security. Wearable sensors collect data on different biomarkers throughout a patient’s body, and convey real-time information regarding whether the biomarkers’ levels are approaching cancerous state. Despite this great promise, there are various issues that have to be solved: data protection, privacy, and security, problems with the algorithms’ biases, and integration into practice. Ethical questions are generally important to tackle the uncertainty surrounding data and decision-making in clinical care using A I systems. The future trends in early cancer diagnostics will involve deeper integration of the approaches as AI and big data technology, which will enable more precise prevention and treatment. The applicability of this approach can also extend to the early identification of cancer, but also the prevention of its occurrence through proper intervention. In conclusion, conversing AI and data technologies will be useful for enhancing the efficiency of the early cancer diagnosis, and that is why the perspectives for the patients’ recovery and the further decrease in the mortality rates connected with cancer are rather promising. The approaches in this area remain informative developing technologies that are likely to be integrated into clinical work as the leading organizational models for the future of oncology and preventive health.","Researchers introduce IDMap, an AI-driven system leveraging ML and DL to enhance early cancer detection accuracy, reduce diagnosis time, and improve healthcare quality, integrating big data analytics, cloud computing, and IoT for precision medicine and biomarker identification."
"AI-Integrated biosensors: A paradigm shift in multi-cancer detection with enhanced sensitivity and specificity","https://scispace.com/paper/ai-integrated-biosensors-a-paradigm-shift-in-multi-cancer-gwo3id5z44ia","2026","Journal Article","Sensors and actuators reports","Fatima Naseer
Ufra Naseer
Muhammad Yousaf
Junnan Wei
Yuxuan Gao
Dan Li
Xiujia Tian
Yanqing Liu
Xueyan Li
Fang Wang
Ping Luo","10.1016/j.snr.2026.100439","","• Early-stage multi-cancer detection is a major challenge and needs reliable, low-burden tests. • Conventional diagnostics are invasive, slow, costly, and can lack accuracy for screening. • Integration of biosensors with artificial intelligence improves sensitivity at clinically acceptable specificity and enables tumor-of-origin and longitudinal monitoring. • Clinical translation requires standardized pre-analyses, calibrated reporting, multi-site validation, and strong data privacy safeguards. Cancer remains a major global health problem, with survival closely tied to early detection. Conventional methods like physical examination, laboratory tests, biopsy, and imaging have limitations for detecting low-abundance cancer biomarkers at earlier stages. Because early-stage cancer biomarkers are present at low abundance, there is a need for technologies with low limits of detection that are highly sensitive, specific, and achievable at a manageable cost. In this review, we performed a structured literature search of PubMed, Web of Science, and Google Scholar from database inception up to December 2024 using keywords related to biosensors, electrochemical, optical, nanomaterial, multi-cancer early detection, and artificial intelligence. We evaluate recent advances in biosensor-based strategies for minimally invasive sampling and summarize how electrochemical, optical, and nanomaterial-based biosensors convert biomarker interactions into measurable signals. For each modality, we outline transduction principles, key biomarker performance, and multiplex capacity, with applications spanning liquid biopsy, breath analysis, and tumor microenvironment readouts. We also summarize AI methods for denoising, feature extraction, multimodal fusion, and classifier training for cancer detection and tumor of origin assignment. Finally, we highlight key translational priorities, including standardized pre-analytical workflows, multi-site studies, well-curated datasets, transparent preprocessing, external validation, privacy-preserving training, and integration with clinical information systems. Overall, the reviewed literature indicates that AI most consistently improves interpretation and classification from complex biosensor readouts, but clinically reliable MCED is still limited by non-standardized pre-analytical handling and insufficient independent external validation. These findings support AI-integrated biosensors as a promising route to shift diagnosis toward earlier stages and enable efficient care pathways within a scalable MCED workflow. This review article describes the integration of advanced biosensors with artificial intelligence for multi-cancer early detection. It summarizes electrochemical, optical, and nanomaterial-based biosensors that analyze liquid biopsies, leveraging AI to denoise data, fuse modalities, and train classifiers. This synergistic approach aims to shift cancer diagnosis to earlier, more treatable stages, creating scalable and efficient clinical workflows for improved patient outcomes. ","This review integrates AI with biosensors to enhance multi-cancer detection, leveraging electrochemical, optical, and nanomaterial-based biosensors to analyze liquid biopsies and improve sensitivity and specificity for early-stage cancer diagnosis."
"How AI Improves Early Cancer Detection: Focus on Precision, Speed, and Medical Impact","https://scispace.com/paper/how-ai-improves-early-cancer-detection-focus-on-precision-62bao7rep16g","2024","Journal Article","Journal of Student Research","M. Malla
Mihai Sava
Jothsna Kethar","10.47611/jsrhs.v13i4.8296","","This study explores the potential of artificial intelligence (AI) in enhancing early cancer diagnosis by evaluating the accuracy and efficiency of AI-based diagnostic tools compared to traditional methods. Despite challenges such as data privacy and algorithmic bias, the research demonstrates AI’s superior performance in accuracy and speed, suggesting significant improvements in early detection and personalized treatment. The study applies AI methods, such as deep learning and machine learning models to diverse medical data types including imaging, genomics, and pathology using a broad collection of AI algorithms. Such research points to the widely varying ways AI systems vastly outperform conventional means of diagnoses in accuracy and speed, offering improved earlier detection and more tailored plans for patients. ","This study evaluates AI's potential in early cancer detection, demonstrating superior accuracy and speed compared to traditional methods, despite challenges, and suggests significant improvements in early detection and personalized treatment through diverse AI applications."
"Advancing Early Detection Paradigms in Breast Cancer: A Systematic Review of Machine Learning Approaches","https://scispace.com/paper/advancing-early-detection-paradigms-in-breast-cancer-a-cxkg5ds8sl96","2025","Repository","","Kumar D Kumar D
ARUNACHALAM G","10.5281/zenodo.15095973","","&lt;p&gt;Early detection of breast cancer remains crucial for improving patient outcomes and survival rates. With the advent of computational approaches, machine learning (ML) has emerged as a powerful tool in the medical diagnostic arsenal. This review comprehensively examines recent advances in machine learning algorithms for early breast cancer detection across multiple imaging modalities and bimolecular approaches. We systematically analyze supervised learning techniques (support vector machines, random forests, and neural networks), deep learning architectures, ensemble methods, and emerging hybrid approaches. The review evaluates their performance metrics, clinical validation status, and integration challenges in healthcare workflows. Current limitations and promising research directions are discussed, with particular emphasis on explain ability, robustness, and the integration of multimodal data sources. This systematic overview provides valuable insights for researchers, clinicians, and healthcare technologists navigating the rapidly evolving landscape of AI-augmented breast cancer diagnostics, highlighting the transformative potential of machine learning in early detection paradigms.&lt;/p&gt; ",""
"Advancing cancer care with artificial intelligence: early detection initiatives","https://scispace.com/paper/advancing-cancer-care-with-artificial-intelligence-early-3w9p6s44uxkj","2024","Journal Article","","Daniyah Zehra Hussain
Amna Zaheer
Ahmad Akhtar
Daniyah Zehra Hussain
Amna Zaheer
Ahmad Akhtar","10.61505/evidence.2024.2.4.91","https://scispace.compdf/advancing-cancer-care-with-artificial-intelligence-early-3w9p6s44uxkj.pdf","Background Artificial intelligence (AI) is revolutionizing early cancer detection, with machine learning (ML) and deep learning (DL) at the forefront. While ML requires human guidance, DL autonomously learns from data using neural networks, excelling in image and speech recognition, pattern detection, and natural language processing, making it highly valuable in oncology. The aim of this research article is to review the application of Artificial Intelligence, particularly DL, in the early detection of cancer, evaluating various models and their effectiveness in improving diagnostic accuracy and prediction. Methods A diversified literature review was carried out using PubMed, Google Scholar, and ScienceDirect. Keywords included ""Artificial Intelligence,"" ""Machine Learning,"" ""Deep Learning,"" and ""Cancer Detection."" Inclusion criteria encompassed articles in English published in the last twenty years, focused on original research. Excluded were non-research articles and those with inaccessible full texts. Results AI models under investigation include: Sybil: Accurately predicts lung cancer risk from a single low-dose CT scan. CNN-based models: Effective in classifying cancers from endoscopy, radiology, and histopathology images. CAD colonoscopy: Improves adenoma detection rates in real-time colonoscopy. Paige Prostate Alpha: Detects prostate cancer in whole slide images. CUP-AI-Dx: Recognizes the primary tissue of origin in cancers of unknown primary using RNA-based data. M3Net: Integrates CT images and biomarker data for cancer risk prediction. GANs: Enhance image-based diagnostics through denoising and completion. Conclusion DL algorithms demonstrate high accuracy in cancer detection, often matching or surpassing expert evaluations. Despite challenges in model robustness, multimodal data integration, and ethical considerations, AI holds significant promise in oncology. Future research should focus on enhancing model interpretability and clinical integration. ",""
"Artificial Intelligence in Radiology: Advancing Precision, Accuracy, and Early Detection in Cancer Diagnosis","https://scispace.com/paper/artificial-intelligence-in-radiology-advancing-precision-3j1hu2d1z3oo","2025","Journal Article","Cureus","Pragati Gurjar
Saad Khan Mayana
Sravan Krishna Reddy Annadevula
Bhanupriya Singh
Kumar Sambhav
Sapana B. Shah","10.7759/cureus.100102","","Artificial intelligence (AI) is rapidly transforming oncologic radiology, enabling earlier detection, greater precision, and more personalized care. Yet much of the literature remains fragmented into disease-specific studies or narrow performance assessments. This review addresses that gap through a narrative thematic synthesis of research published between 2019 and 2025, identified from major biomedical and engineering databases and selected for clinical relevance, translational value, and policy significance. Unlike prior reviews that catalog isolated applications, it organizes evidence into cross-cutting frameworks that redefine radiology’s role in cancer care. These include advances in precision imaging and early detection, the integration of multimodal data for richer disease characterization, and the use of AI in prognosis and treatment monitoring. Equally, the review highlights challenges of model explainability, federated learning, equity, and workforce adaptation as determinants of adoption. By situating these themes within Clinical Decision Support Systems (CDSS) and broader healthcare infrastructures, the analysis shows that AI’s significance lies less in isolated accuracy gains than in its transparency, inclusivity, and adaptability across contexts. The review concludes that the decisive priority now is to build global collaborations, robust validation, and ethical frameworks that ensure AI evolves as an inclusive ecosystem capable of delivering equitable improvements in cancer care worldwide.","This review synthesizes AI research in oncologic radiology (2019-2025), highlighting advances in precision imaging, early detection, and multimodal data integration, while addressing challenges of model explainability, equity, and workforce adaptation for equitable cancer care improvements."
"Integrating Environmental and Histopathological Insights for Early Cancer Prediction through Multimodal Deep Learning","https://scispace.com/paper/integrating-environmental-and-histopathological-insights-for-u83iwviynomd","2025","Journal Article","","","10.5281/zenodo.17453278","","Early detection of cancer significantly improves treatment outcomes, yet many low-resource regions lack access to specialized diagnostics. This paper presents a reproducible multimodal deep learning framework that integrates histopathological image features with environmental indicators to enhance early cancer prediction and risk stratification. Using the Breast Cancer Wisconsin dataset as a reproducible prototype, the proposed model fuses visual embeddings from histopathology with environmental covariates, such as air quality and UV exposure, to generate enriched risk scores. The results demonstrate a 99.3% AUC, validating the potential of multimodal data fusion for equitable screening systems. This study contributes an openly available, extendable pipeline that encourages further exploration of AI-driven public health solutions. ",""
"Cancer genomics and ai: creating ai models to identify genomic alterations in cancer, enhancing early detection and personalized treatment strategies","https://scispace.com/paper/cancer-genomics-and-ai-creating-ai-models-to-identify-1rtalv9yfkut","2025","Repository","","EMINOV Ravshanjon Ikromjon Ugli","10.5281/zenodo.14759506","","&lt;p&gt;&lt;span&gt;The integration of artificial intelligence (AI) and cancer genomics has transformed precision oncology, enabling early detection and personalized treatment strategies. AI techniques, including machine learning and deep learning, analyze complex genomic data to uncover mutations and identify biomarkers. These approaches enhance early cancer detection through tools like liquid biopsies and optimize personalized treatments by predicting drug responses and refining immunotherapy. Despite significant advancements, challenges such as data privacy, model interpretability, and clinical integration remain. Future efforts focus on interdisciplinary collaboration, explainable AI, and federated learning to overcome these hurdles and further revolutionize cancer care&lt;/span&gt;&lt;/p&gt; ",""
"Applications of Artificial Intelligence in Cancer Precision and Personalized Medicine","https://scispace.com/paper/applications-of-artificial-intelligence-in-cancer-precision-t1k9coki5xjq","2025","Journal Article","Transactions on materials, biotechnology and life sciences","Shili Sun","10.62051/6zv3ry94","https://scispace.compdf/applications-of-artificial-intelligence-in-cancer-precision-t1k9coki5xjq.pdf","Artificial Intelligence (AI), as a rapidly evolving technology, is fundamentally transforming the diagnosis and treatment of cancer. This article systematically discusses the research and application progress of AI in key areas such as medical image analysis, genomic data interpretation, personalized treatment design, and clinical decision support. In medical imaging, AI, powered by deep learning, significantly enhances the sensitivity and accuracy of tumor detection in CT, MRI, and other scans, reduces human error, and enables multi-lesion monitoring and dynamic tumor tracking. In genomic data interpretation, AI can accurately identify cancer-related driver mutations and biomarkers, accelerating early screening and risk prediction, and providing a scientific basis for personalized treatment plans. Meanwhile, AI's application in drug discovery and cancer immunotherapy continues to expand, improving drug candidate prediction efficiency and accurately predicting immune therapy responses to optimize treatment combinations. AI-assisted clinical decision systems integrate multimodal data to provide individualized treatment suggestions, facilitating the transition of cancer therapy from experience-based to data-driven methods. Although challenges such as data privacy, model interpretability, and ethical concerns remain, AI holds great promise in cancer precision medicine and is poised to become a vital component of future oncology care. ",""
"The Anomaly Within: Hybrid Learning Models for Early Cancer Gene Detection","https://scispace.com/paper/the-anomaly-within-hybrid-learning-models-for-early-cancer-wmc16e02rlsr","2025","Journal Article","","T. Aditya Sai Srinivas
M. Ramu
K. Dora Babu
I.V Shashikala
S. Rakshitha
M. Bhavya Sree","10.1109/ice2cpt66440.2025.11340551","","Detecting cancer-causing genes early and accurately is crucial for improving patient outcomes and tailoring personalized treatment plans. This review delves into the integration of anisotropic anomaly detection and hybrid machine learning (ML) techniques to identify genetic markers associated with cancer. We systematically examine advancements across six key domains: dataset analysis, hybrid radiomics-based deep learning models, semi-supervised ensemble learning, anisotropic anomaly-based gene detection, early diagnosis using ML, and classifier performance evaluation. The study underscores the strengths and limitations of various models, emphasizing metrics such as sensitivity, specificity, and classification accuracy. Ensemble methods like AdaBoost and hybrid radiomics frameworks emerge as top performers in predicting cancer-related genes at the genetic level. Anisotropic anomaly techniques show promise in image-based gene detection, while semi-supervised learning methods mitigate challenges posed by data scarcity and high dimensionality.","This review integrates anisotropic anomaly detection and hybrid machine learning to identify cancer-causing genes, examining six domains and highlighting strengths and limitations of various models, with ensemble methods and anisotropic anomaly techniques showing promise in early cancer gene detection."
"Leveraging Convolutional Neural Networks and Multimodal Imaging Data for Accurate and Early Lung Cancer Screening","https://scispace.com/paper/leveraging-convolutional-neural-networks-and-multimodal-4od57nud0j","2024","Journal Article","","P. Subha Hency Jose
J. V. R. Sagar
S. Abisheik
Robert K. Nelson
M. Venkatesh
B. Keerthana","10.1109/icict60155.2024.10544863","","Lung cancer is best treated when detected at an early stage. This work proposes a novel approach for early detection, incorporating additional images of non-cancerous lungs to the dataset on cancerous lungs. The investigated dataset, which is composed of chest X-ray and computed tomography scans, contains images of healthy lungs as well as lungs across multiple stages of cancer. In this way, the Convolutional neural network for early detection is trained to differentiate between normal tissue and cancer. The CNN architecture consists of feature extraction stages and an image classifier. Balanced cancerous/non-cancerous images are used for training to ensure that the model is not biased. Substantial experiments have been conducted, and the results prove that the model performs well for lung cancer detection. With a sensitivity of 83.3%, the suggested CNN-based method provides cutting-edge results and a specificity of 91.7% in identifying lung cancer from chest X-rays and CT scans. By leveraging the complementary information from cancerous and non-cancerous images, the model effectively captures the subtle patterns and anomalies associated with early-stage lung cancer, enabling timely diagnosis and treatment. ","Early detection of lung cancer using a CNN-based model leveraging additional images of non-cancerous lungs. The model achieves high sensitivity and specificity, effectively capturing subtle patterns and anomalies associated with early-stage lung cancer."
"Deep Learning-Driven Multimodal Integration of miRNA and Radiomic for Lung Cancer Diagnosis","https://scispace.com/paper/deep-learning-driven-multimodal-integration-of-mirna-and-asfi4rwve2me","2025","Journal Article","Biosensors","Yuanyuan Chen
Dikang Chen
Xiaohui Liu
Hui Jiang
Xuemei Wang","10.3390/bios15090610","","Lung cancer remains one of the most common and deadly malignancies worldwide. Current diagnosis and staging primarily rely on biopsy techniques, which fail to comprehensively characterize the molecular profiles and tumor microenvironment. Current studies demonstrate the promising performance (AUC = 82%) of miRNA-based predictive models, but exclusive reliance on miRNA signatures is limited by incomplete capture of tumor heterogeneity. Integrating imaging and genomic data can further enhance model accuracy, with functional nanomaterials serving as core advanced biosensing platforms to bridge miRNA sensing and radiomic fusion. Consequently, integrating imaging and genomic data can further enhance model accuracy. Recent research employing DenseNet architecture for the multimodal fusion of miRNA and radiomic features achieved an AUC of 0.98 with 85.7% sensitivity. This review summarizes advances in miRNA biomarkers, deep learning-driven radiogenomics, and critical roles of functional nanomaterials in biosensing-enabled multimodal integration, along with challenges and future directions for clinical translation. ","This study integrates miRNA and radiomic data using deep learning to enhance lung cancer diagnosis, achieving an AUC of 0.98 with 85.7% sensitivity, and highlights the potential of functional nanomaterials in multimodal integration for clinical translation."
"Artificial Intelligence in Oncology: Advancing Precision, Prediction, and Personalized Cancer Care","https://scispace.com/paper/artificial-intelligence-in-oncology-advancing-precision-pxvhnat3q3xp","2025","Repository","","","10.5281/zenodo.17365749","","Cancer’s biological complexity, intra- and inter-tumoral heterogeneity, and variable patient responses to therapy make it a formidable challenge and one of the world’s leading causes of morbidity and mortality. The development of artificial intelligence (AI) and its subfields, such as machine learning (ML) and deep learning (DL), has transformed oncology by making it possible to manage cancer in a precise, individualized, and data-driven manner. From early detection and diagnosis to treatment planning, drug discovery, and prognosis prediction, recent developments (2022–2025) have incorporated AI into every aspect of cancer care. Through the processing of multimodal datasets, including digital pathology, proteomics, transcriptomics, genomics, and radiomics, AI algorithms can find molecular signatures and hidden biomarkers that direct specialized therapeutic interventions. Furthermore, compared to conventional clinical evaluation techniques, AI-based models have demonstrated encouraging accuracy in tumor segmentation, histopathological classification, and survival prediction. By combining cloud-based AI platforms with big data analytics, clinical decision-making has improved and real-time monitoring of treatment response and side effects is now possible. Data bias, interpretability, model generalizability, and ethical considerations continue to be major obstacles to full clinical implementation, despite its transformative potential. This review summarizes the most recent advancements in AI-driven oncology, emphasizing technological advancements, practical uses, and potential avenues for further study. It highlights how AI is bringing about a new era in intelligent, evidence-based cancer care by advancing early diagnosis, tailored treatment, and better patient outcomes in precision medicine. ",""
