"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Study Design and Population","Key Findings on Adherence Accuracy or Outcomes","Limitations and Gaps"
"“Healthcare on a Wrist”: increasing compliance through checklists on wearables in obesity (self-) management programs","https://scispace.com/paper/IufzAk-Vd4gJ","","","","T Boillat
H Rivas
K Wac","","https://www.researchgate.net/profile/Katarzyna-Wac-2/publication/360744211_Digital_Health/links/6287bcb4cd5c1b0b34e960de/Digital-Health.pdf#page=75","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses a smartwatch checklist to support obesity self‑management, mentions user compliance but lacks detailed adherence metrics, provides no sensor accuracy validation, and does not report extended health outcome data.","","The study focuses on increasing compliance through checklists on wearables in obesity (self-) management programs. The paper discusses chronic illness self-management and the role of IT, but a specific study design like RCT, systematic review, or observational study is not explicitly stated. The target population is individuals engaged in obesity (self-) management programs.","The paper uses a smartwatch checklist to support obesity self-management, mentioning user compliance. However, it lacks detailed adherence metrics and does not report extended health outcome data. There is no sensor accuracy validation. The study discusses the role of IT in chronic illness self-management, aiming for better long-term health outcomes.","The paper lacks detailed adherence metrics, provides no sensor accuracy validation, and does not report extended health outcome data. It mentions user compliance but does not offer comprehensive insights into its assessment or impact."
"INNOVATIVE APPROACHES TO THE DIAGNOSIS AND TREATMENT OF HYPERTENSION: USE OF TECHNOLOGY AND PROSPECTS.","https://scispace.com/paper/40694706","2025","Journal Article","Georgian medical news","Serediuk
Dekhtiar
Barabanchyk
Hruzevskyi
Sosnov","","","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses wearables to manage hypertension, but provides limited data on patient adherence, sensor accuracy, or extended outcome tracking.","Research in hypertension management highlights a significant gap in the effectiveness, accessibility, and patient-centricity of existing approaches. This study aims to examine the effectiveness of digital health, telemedicine, wearable devices, and hybrid approaches in hypertension management, addressing short-term and long-term outcomes and identifying implementation challenges.","The study examines the effectiveness of digital health, telemedicine, wearable devices, and hybrid approaches in hypertension management. It addresses short-term and long-term outcomes and identifies implementation challenges. The target population is individuals with hypertension. The study design is not explicitly stated as an RCT, systematic review, or other specific type, but it aims to examine effectiveness and challenges.","The study uses wearables for hypertension management but provides limited data on patient adherence, sensor accuracy, or extended outcome tracking. The relevance metadata indicates low relevance for adherence assessment, accuracy evaluation, and long-term health outcomes.","The study addresses a significant gap in the effectiveness, accessibility, and patient-centricity of existing hypertension management approaches. While it uses wearables, it provides limited data on patient adherence, sensor accuracy, or extended outcome tracking."
"The Impact of Wearable Technology on Health Monitoring: A Data-Driven Analysis with Real-World Case Studies and Innovations","https://scispace.com/paper/the-impact-of-wearable-technology-on-health-monitoring-a-647c704bslg3","2024","Journal Article","Journal of Sustainable Solutions.","Nirav Narendrakumar Modh
Prashant S. Modi","10.36676/j.sust.sol.v1.i4.44","","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Broad overview of wearables for chronic care; lacks specific device focus, adherence metrics, accuracy validation, and long‑term outcome data.","Wearable technology has revolutionised health monitoring with real-time data collection, personalised health insights, and enhanced healthcare access. A data-driven look at how wearable gadgets affect health outcomes in chronic illness management, fitness tracking, and preventive treatment. Real-world case studies show how wearable technology improves patient engagement and medical decision-making. AI-powered diagnostics and non-invasive biosensors are also examined as healthcare advancements. Data privacy, device accuracy, and user compliance remain issues despite their potential. This study emphasises the need for strong frameworks to address these issues and maximise wearable technology's health advantages ","The study involves a data-driven analysis with real-world case studies. It examines health outcomes in chronic illness management, fitness tracking, and preventive treatment. The focus is on how wearable technology affects patient engagement and medical decision-making across various health aspects.","Wearable technology has revolutionised health monitoring, offering real-time data collection and personalised health insights. The study highlights how these devices enhance chronic illness management, fitness tracking, and preventive treatment, improving patient engagement and medical decision-making. It also examines AI-powered diagnostics and non-invasive biosensors as advancements. However, data privacy, device accuracy, and user compliance remain issues, emphasising the need for robust frameworks to maximise health advantages.","Data privacy, device accuracy, and user compliance remain issues despite the potential of wearable technology. The study emphasizes the need for strong frameworks to address these issues and maximize health advantages."
"The influence of wearables on healthcare outcomes in chronic disease: a systematic review (Preprint)","https://scispace.com/paper/the-influence-of-wearables-on-healthcare-outcomes-in-chronic-2ft0e7ha","2022","Posted Content","","Graeme Mattison
Oliver J. Canfell
Douglas L Forrester
Chelsea Dobbins
Daniel Smith
Juha Töyräs
Clair Sullivan","10.2196/preprints.36690","","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews 31 studies on wearables across 19 chronic diseases, centralizing device role. Does not report adherence or sensor accuracy data. Includes mixed long‑term outcome results but lacks dedicated extended‑period analysis.","
 BACKGROUND
 Chronic disease contributes to high rates of disability and death. Patient engagement in chronic disease self-management is an essential component of chronic disease models of healthcare. Wearables provide patient-centred health data in real-time that can help inform self-management decision-making. Despite the perceived benefits of wearables to improve chronic disease self-management, their influence on healthcare outcomes remains poorly understood.
 
 
 OBJECTIVE
 To examine the influence of wearables on healthcare outcomes in people with chronic disease through systematic review of the literature
 
 
 METHODS
 A narrative systematic review was conducted by searching six databases for randomised and observational studies published between January 1st 2016 – July 1st 2021 that included the use of a wearable intervention in a chronic disease group to assess impact on a predefined outcome measure. These outcomes were defined as any influence on the patient or clinician experience, cost-effectiveness, or healthcare outcome as a result of the wearable intervention. Data from included studies were extracted from six key extraction themes, from which a narrative qualitative synthesis was performed. All outcomes were mapped against each component of the Quadruple Aim of Healthcare. The guidelines of the Preferred Reporting Items for Systematic Reviews and Meta-Analyses statement were followed.
 
 
 RESULTS
 A total of 31 articles were included. Studies reported a total of 2,512 participants with a mean age range of 10.1 to 74.4 years, in which the influence of 15 types of wearables on 19 chronic diseases were presented. The most studied chronic diseases were Type 2 diabetes (n = 4), Parkinson’s disease (n = 3) and chronic lower back pain (n = 3). Results were mixed when assessing the impact on a predefined primary outcome, with 16 studies finding a positive influence on the studied outcome and 15 demonstrating nil effect. There was a positive effect of 3D virtual reality systems on chronic pain in two studies evaluating two distinct chronic pain syndromes. Mixed results were observed in influencing exercise capacity, weight and biomarkers of disease such as HbA1c in diabetes. In total, 164 outcomes were studied. The majority (n = 147; 89.6%) addressed the “healthcare outcomes” component, which included pain (n = 11; 7.5%), quality of life (n = 7; 4.8%) and physical function (n = 5; 3.4%). Thirteen (7.9%) outcome measures represented the “patient experience” component, with two (1.2%) addressing the “clinician experience” and “cost” respectively.
 
 
 CONCLUSIONS
 Given their popularity and capabilities, wearables may play an integral role in chronic disease management. However, further research is required to generate a strong evidence base behind their safe, effective implementation.
 
 
 CLINICALTRIAL
 The protocol for this review was registered in the International Prospective Register for Systematic Reviews (PROSPERO) on April 22nd 2021 - CRD42021244562.
","This study is a narrative systematic review that included randomised and observational studies. It investigated the influence of wearables on healthcare outcomes in people with 19 chronic diseases. The most studied chronic diseases were Type 2 diabetes (n = 4), Parkinson’s disease (n = 3), and chronic lower back pain (n = 3).","The review of 31 articles found mixed results regarding the impact of wearables on predefined outcomes. Sixteen studies showed a positive influence, while 15 demonstrated nil effect. There was a positive effect of 3D virtual reality systems on chronic pain in two studies. Mixed results were observed for exercise capacity, weight, and biomarkers like HbA1c. Of 164 outcomes studied, 89.6% addressed ""healthcare outcomes,"" 7.9% ""patient experience,"" and 1.2% each for ""clinician experience"" and ""cost."" Further research is needed for safe, effective implementation.","Further research is required to generate a strong evidence base for the safe and effective implementation of wearables in chronic disease management. The review found mixed results regarding the impact of wearables on predefined primary outcomes, exercise capacity, weight, and biomarkers."
"Wearable technology in rehabilitation: assessing the impact of the Apple watch on physical activity and cardiovascular health: a scoping review.","https://scispace.com/paper/40938219","2025","Journal Article","The Journal of sports medicine and physical fitness","Tedeschi
Giorgi
Ricci
Vita
Donati","10.23736/S0022-4707.25.16874-6","","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews Apple Watch use in rehab, touching on cardiovascular health (chronic disease) and summarizing accuracy studies, but lacks primary adherence data and long‑term outcome analysis.","The Apple Watch is increasingly used in rehabilitation to monitor physical activity, cardiovascular health, and other physiological parameters. This review evaluates its effectiveness and accuracy in various rehabilitation settings, examining its potential to enhance patient adherence and clinical outcomes.","The study design is a scoping review. The paper examines the impact of the Apple Watch on physical activity and cardiovascular health in various rehabilitation settings. It focuses on the use of the device to monitor physical activity, cardiovascular health, and other physiological parameters, aiming to enhance patient adherence and clinical outcomes.","The review evaluates the Apple Watch's effectiveness and accuracy in rehabilitation settings for monitoring physical activity and cardiovascular health. It examines its potential to enhance patient adherence and clinical outcomes. The paper summarizes accuracy studies but lacks primary adherence data and long-term outcome analysis.","The review lacks primary adherence data and long-term outcome analysis. It also only partially covers accuracy evaluation and wearable device relevance for chronic disease management, indicating gaps in these areas."
"Protocol of the randomized control trial: the WiseApp trial for improving health outcomes in PLWH (WiseApp)","https://scispace.com/paper/protocol-of-the-randomized-control-trial-the-wiseapp-trial-3o6qzptb4o","2020","Journal Article","BMC Public Health","Gabriella Flynn
Haomiao Jia
Nancy R. Reynolds
David C. Mohr
David C. Mohr
Rebecca Schnall","10.1186/S12889-020-09688-0","https://link.springer.com/content/pdf/10.1186/s12889-020-09688-0.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses a fitness tracker as part of a HIV self‑management app, but the wearable is ancillary; focuses on medication adherence rather than device usage; provides no sensor accuracy data; follows participants for 6 months, offering limited long‑term outcome insight.","Poor adherence to antiretroviral therapy (ART) is one of the primary barriers to viral load suppression. mHealth technology can help overcome challenges with ART adherence. This paper outlines the protocol for the WiseApp randomized control trial. The WiseApp contains real-time medication monitoring linking an electronic pill bottle and fitness tracker to the app, helping persons living with HIV (PLWH) self-manage their medication adherence and improve their overall quality of life. The primary objective of the trial is to test the effect of the WiseApp's medication adherence features on antiretroviral adherence in underserved PLWH in New York City. This ongoing study is a two-arm randomized control trial. Participants are randomized 1:1 to the WiseApp intervention arm or the control arm at baseline and followed for 6 months. Eligibility criteria include: 18 years of age, have a diagnosis of HIV, speak and understand English or Spanish, live in the United States, own a smartphone, currently taking ART medications, and report the past 30 days adherence of 80% or less as measured using the Visual Analogue Scale (VAS), or have a viral load of over 400 copies/mL. The sample size for the trial is 200 people. All study participants receive the WiseApp, a CleverCap electronic pill bottle, and a fitness tracker. The intervention group also receives videos and health surveys centered on medication adherence and managing living with HIV as well as medication reminders. In contrast, the control group receives walk step reminders, videos, and surveys focused on overall wellness. The WiseApp Trial has the potential to improve HIV self-management applications, being one of the few randomized controlled trials of a mHealth medication adherence and HIV self-management application in the United States. The trial could also bring new opportunities for advancement in reaching economically disenfranchised and underserved populations in the United States. The real-time monitoring of the WiseApp has the potential to help providers initiate interventions to help patients resume treatment before drug resistance begins. This trial was registered with ClinicalTrials.gov (
NCT03205982

) on July 2, 2017.","The study design is a two-arm randomized control trial. The target population is persons living with HIV (PLWH) in New York City, specifically underserved individuals, who are currently taking ART medications and report past 30 days adherence of 80% or less or have a viral load over 400 copies/mL.","This paper outlines the protocol for the WiseApp randomized control trial, not its findings. The primary objective is to test the effect of WiseApp's medication adherence features on antiretroviral adherence in underserved PLWH. The trial aims to improve HIV self-management and potentially help providers initiate interventions before drug resistance. It is an ongoing study, and no results on adherence accuracy, sensor validity, or long-term health outcomes are available.","The paper outlines the protocol for an ongoing randomized control trial. It notes the potential for the WiseApp Trial to improve HIV self-management applications, being one of the few randomized controlled trials of a mHealth medication adherence and HIV self-management application in the United States. No specific limitations, methodological weaknesses, or research gaps are explicitly noted by the authors in the provided metadata."
"Differential effects of wearable device-based interventions on weight and health outcomes in adults and youth with overweight or obesity: A systematic review and …","https://scispace.com/paper/Ei4gXERN-Y8J","","","","SY Lee
KI Joung
KJ Kim
SH An","","https://journals.sagepub.com/doi/pdf/10.1177/20552076261431505","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews wearable interventions for obesity, touching on chronic disease context and some long‑term weight outcomes, but lacks detailed adherence metrics, accuracy validation, and focuses on short‑term studies.","","This paper is a systematic review. It focuses on adults and youth with overweight or obesity, and touches upon the potential role of wearable devices in chronic disease prevention.","The paper notes that adherence in real-world settings remains challenging. Regarding long-term health outcomes, the paper's relevance is partially relevant, touching on chronic disease context and some long-term weight outcomes. However, detailed adherence metrics and accuracy validation are not available in the metadata, and it focuses on short-term studies.","Adherence in real-world settings remains challenging. The paper has low relevance to adherence assessment and is not relevant to accuracy evaluation. It also focuses on short-term studies, with only partial relevance to long-term health outcomes."
"Internet of Things Wearable Devices to Support Chronic Disease Self-Management: A Rapid Scoping Review (Preprint)","https://scispace.com/paper/internet-of-things-wearable-devices-to-support-chronic-47nxax8vcw","2023","Preprint","","Marie‐Pierre Gagnon
Steven Ouellet
Eugène Attisso
Wilfried Supper
Samira Amil
Caroline Rhéaume
Jean‐Sébastien Paquette
Christian Chabot
Marie-Claude Laferrière
Maxime Sasseville","10.2196/preprints.55925","","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Comprehensive review of IoT wearables across chronic diseases; central focus on device use, but lacks primary adherence, accuracy testing, and long‑term outcome data.","<sec> <title>BACKGROUND</title> People living with chronic diseases can benefit from connected wearable devices – also known as Internet of Things – to be more empowered in their health condition management. Previous reviews have focused on specific chronic diseases and wearable devices, such as blood glucose monitoring. However, comprehensive reviews providing an overview of devices used and their effects on self-management of health across various chronic diseases within adult populations are lacking. </sec> <sec> <title>OBJECTIVE</title> To portray the types of wearable devices used, outcomes measured, chronic diseases targeted, and effects of wearable devices on chronic disease self-management among adult populations. </sec> <sec> <title>METHODS</title> We developed a search strategy in two databases to identify sources published between 2012-01-01 and 2022-06-30. We imported data in Covidence and pairs of reviewers independently screened titles and abstracts, applied the inclusion and exclusion criteria, and performed full-text screening. We resolved disagreements by consensus and discussion. One reviewer performed data extraction and quality assessment, and at least one senior researcher validated them. </sec> <sec> <title>RESULTS</title> From an initial 4540 imported sources, we synthetized narratively data from 79 included studies. We structured results in nine chronic diseases clusters: (1) diabetes, (2) heart failure, (3) other cardiovascular conditions, (4) hypertension, (5) multimorbidity and other combination of chronic conditions, (6) chronic obstructive pulmonary disease, (7) chronic pain, (8) musculoskeletal conditions, and (9) asthma. Most studies targeted diabetes in 22.8% (18/79) of studies and wearable activity trackers were the most used in 53.2% (42/79) of studies. Interventions involving connected wearable devices demonstrated statistically significant positive effects on thirty-seven clinical, twenty-eight behavioral, three patient technology experience, nine holistic/biopsychosocial, and seven health system utilization outcomes. </sec> <sec> <title>CONCLUSIONS</title> This review presents evidence indicating that connected wearable devices could support the self-management of chronic conditions. This review also identifies research gaps and future avenues of investigation. </sec> <sec> <title>CLINICALTRIAL</title> OSF Registries s4wfm; https://osf.io/s4wfm </sec> ","This paper is a rapid scoping review. It targeted adult populations with various chronic diseases, including diabetes, heart failure, other cardiovascular conditions, hypertension, multimorbidity, chronic obstructive pulmonary disease, chronic pain, musculoskeletal conditions, and asthma.","Interventions with connected wearable devices demonstrated statistically significant positive effects on thirty-seven clinical, twenty-eight behavioral, three patient technology experience, nine holistic/biopsychosocial, and seven health system utilization outcomes. Wearable activity trackers were the most used in 53.2% (42/79) of studies, with diabetes being the most targeted condition in 22.8% (18/79) of studies. The review indicates these devices support chronic condition self-management.","This review identifies research gaps and future avenues of investigation regarding connected wearable devices for chronic disease self-management. The background notes a lack of comprehensive reviews providing an overview of devices and their effects on self-management across various chronic diseases within adult populations, which this study aimed to address."
"An umbrella review of systematic reviews of the impact of wrist-worn wearables on health outcomes","https://scispace.com/paper/an-umbrella-review-of-systematic-reviews-of-the-impact-of-14vv41oe6sz4","2025","Journal Article","Physiological Reviews","Marija Glisic
Adea Llane
Stevan Stojic
Erand Llanaj
Zayne Milena Roa-Díaz
Peter Francis Raguindin
Lum Kastrati
Lara Weed
Mintu P. Turakhia
Euan A. Ashley
Taulant Muka
John P. A. Ioannidis","10.1152/physrev.00049.2024","https://waltersport.com/wp-content/uploads/2026/03/An-umbrella-review-of-systematic-reviews-of-the-impact-of-wrist-worn-wearables-on-health-outcomes-Glisic-et-al.-2026.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Umbrella review of wrist wearables shows activity gains; chronic disease focus is peripheral, no adherence or accuracy analysis, limited long‑term outcome data.","We conducted an umbrella review to synthesize the evidence on the effectiveness of interventions incorporating wrist-worn wearables* feedback on diverse health outcomes including health promotion (i.e., health behaviors and disease risk perception) morbidity, mortality, functioning, and other health-related metrics in humans. We searched in MEDLINE, Web of Science, Embase and Cochrane Library until 18th March 2025 for eligible systematic reviews. After screening 9 487 citations, we identified 39 systematic reviews, which included 98 original studies (one observational study, 95 randomized controlled trials, and two pre-post studies). The reviews primarily focused on adult populations, individuals with cardiometabolic conditions, and cancer survivors. The original interventional studies mainly included Fitbit (40.2%), Polar (12.4%), and ActiGraph (10.3%) devices. Over 80% of the clinical trials involved complex behavioral interventions with wearable-based feedback, and the control groups varied. Most systematic reviews were rated as low confidence, with common flaws including inadequate considerations for risk-of-bias and heterogeneity. Interventions incorporating wrist-worn activity trackers increased physical activity in diverse populations. The effect of interventions incorporating wrist-wearables' feedback on cardiometabolic risk markers, quality of life, depression/anxiety and pain was limited and remained inconsistent. Our findings rely on existing systematic reviews, which may vary in quality, review methodologies and comprehensiveness. There is also potential for missing more recent evidence not yet captured in these reviews. These limitations should be considered when interpreting our results. Acknowledging these caveats, wrist-worn wearables seem to increase physical activity, and may have also additional benefits that require further study.","This is an umbrella review of systematic reviews. The reviews primarily focused on adult populations, individuals with cardiometabolic conditions, and cancer survivors. The original studies included 95 randomized controlled trials, one observational study, and two pre-post studies.","Wrist-worn wearables increased physical activity in diverse populations. The effect on cardiometabolic risk markers, quality of life, depression/anxiety, and pain was limited and inconsistent. The review identified 39 systematic reviews, including 98 original studies (95 RCTs). Over 80% of clinical trials involved complex behavioral interventions with wearable-based feedback. Fitbit (40.2%), Polar (12.4%), and ActiGraph (10.3%) were the main devices. Most systematic reviews were rated as low confidence.","The findings rely on existing systematic reviews which may vary in quality, methodologies, and comprehensiveness. Common flaws included inadequate consideration for risk-of-bias and heterogeneity. There is potential for missing more recent evidence not yet captured. The effect on cardiometabolic risk markers, quality of life, depression/anxiety, and pain was limited and inconsistent."
"Clinical Outcomes of Passive Sensors in Remote Monitoring: A Systematic Review.","https://scispace.com/paper/40968818","2025","Journal Article","Sensors (Basel, Switzerland)","Rama
Zuberi
Aly
Askari
Iqbal","10.3390/s25113285","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12157872/pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews passive sensors across many conditions, mentions wearables but lacks focused chronic disease device, adherence data, detailed accuracy validation, or extended outcome analysis.","Remote monitoring technologies have transformed healthcare delivery by enabling the in-home management of chronic conditions, improving patient autonomy, and supporting clinical oversight. Passive sensing, a subset of remote monitoring, facilitates unobtrusive, real-time data collection without active user engagement. Leveraging devices such as smartphones, wearables, and smart home sensors, these technologies offer advantages over traditional self-reports and intermittent evaluations by capturing behavioural, physiological, and environmental metrics. This systematic review evaluates the clinical utility of passive sensing technologies used in remote monitoring, with a specific emphasis on their impact on clinical outcomes and feasibility in real-world healthcare settings. A PRISMA-guided search identified 26 studies addressing conditions such as Parkinson's disease, dementia, cancer, cardiopulmonary disorders, and musculoskeletal issues. Findings demonstrated significant correlations between sensor-derived metrics and clinical assessments, validating their potential as digital biomarkers. These technologies demonstrated feasibility and ecological validity in capturing continuous, real-world health data and offer a unified framework for enhancing patient care through three main applications: monitoring chronic disease progression, detecting acute health deterioration, and supporting therapeutic interventions. For example, these technologies successfully identified gait speed changes in Parkinson's disease, tracked symptom fluctuations in cancer patients, and provided real-time alerts for acute events such as heart failure decompensation. Challenges included long-term adherence, scalability, data integration, security, and ownership. Future research should prioritise validation across diverse settings, long-term impact assessment, and integration into clinical workflows to maximise their utility.","This is a systematic review evaluating passive sensing technologies in remote monitoring. It identified 26 studies addressing conditions such as Parkinson's disease, dementia, cancer, cardiopulmonary disorders, and musculoskeletal issues, focusing on their impact on clinical outcomes and feasibility in real-world healthcare settings.","Findings showed significant correlations between sensor-derived metrics and clinical assessments, validating their potential as digital biomarkers. Technologies demonstrated feasibility and ecological validity in capturing continuous, real-world health data. They successfully identified gait speed changes in Parkinson's disease, tracked symptom fluctuations in cancer patients, and provided real-time alerts for acute events like heart failure decompensation. Challenges included long-term adherence, scalability, and data integration. Future research should prioritize validation and long-term impact assessment.","Challenges identified include long-term adherence, scalability, data integration, security, and ownership. Future research should prioritize validation across diverse settings, long-term impact assessment, and integration into clinical workflows to maximize utility."
"A review of wearable technology in healthcare: Monitoring patient health and enhancing outcomes","https://scispace.com/paper/a-review-of-wearable-technology-in-healthcare-monitoring-1bwkc717zg","2024","Journal Article","Open access research journal of multidisciplinary studies","Ehizogie Paul Adeghe
Chioma Anthonia Okolo
Olumuyiwa Tolulope Ojeyinka","10.53022/oarjms.2024.7.1.0019","","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Review outlines wearables' role in chronic disease care but lacks a specific device focus, empirical adherence data, accuracy validation, or longitudinal outcome results.","Wearable technology has emerged as a transformative force in the healthcare landscape, reshaping the way patient health is monitored and healthcare outcomes are enhanced. The paper delves into various types of wearables, including fitness trackers, smartwatches, and medical wearables, elucidating their functionalities and applications in the healthcare domain. The review emphasizes the profound influence of wearable technology on patient monitoring, encompassing continuous health tracking, remote patient monitoring, and chronic disease management. Through real-time data collection and analysis, wearables enable early detection of health abnormalities and empower healthcare providers to offer timely interventions, thereby reducing hospital readmissions. The role of wearables in chronic disease management is examined, showcasing their potential in tailoring personalized treatment plans and facilitating proactive health management. Furthermore, the paper explores the broader implications of wearable technology in enhancing healthcare outcomes. Wearables contribute to improved patient engagement by providing individuals with access to their health data, fostering a sense of empowerment and accountability. The review underscores the shift towards personalized healthcare, where wearables play a pivotal role in tailoring treatment plans based on individual health data and leveraging predictive analytics for disease prevention. Despite the promising advancements, challenges such as data security, privacy concerns, and integration with existing healthcare systems are discussed. Strategies to address these challenges and enhance user adoption and adherence to wearable technology are explored, recognizing the importance of a holistic approach in realizing the full potential of wearables in healthcare. This review serves as a comprehensive guide for researchers, healthcare providers, and policymakers, offering insights into the evolving landscape of wearable technology and its profound impact on monitoring patient health and improving healthcare outcomes.","This paper is a review of wearable technology in healthcare. It focuses on monitoring patient health and enhancing outcomes, encompassing continuous health tracking, remote patient monitoring, and chronic disease management. It does not specify a particular population but discusses the broader implications for patient engagement and personalized healthcare.","Wearable technology enhances healthcare outcomes by enabling continuous health tracking, remote patient monitoring, and chronic disease management. It facilitates early detection of abnormalities, reduces hospital readmissions, and tailors personalized treatment plans. Wearables improve patient engagement and foster a shift towards personalized healthcare, leveraging predictive analytics for disease prevention. Challenges like data security and privacy are discussed, with strategies explored to enhance user adoption and adherence. No specific quantitative results on adherence accuracy or measurement validity are provided.","Challenges discussed include data security, privacy concerns, and integration with existing healthcare systems. Strategies to address these are explored to enhance user adoption and adherence, recognizing the need for a holistic approach to realize the full potential of wearables in healthcare."
"Determinants of Longitudinal Adherence in Smartphone-Based Self-Tracking for Chronic Health Conditions: Evidence from Axial Spondyloarthritis","https://scispace.com/paper/determinants-of-longitudinal-adherence-in-smartphone-based-2n8zqa72lw","2021","Journal Article","","Simon Jones
William Hue
Ryan Kelly
Rosemarie Barnett
Violet Henderson
Raj Sengupta","10.1145/3448093","https://scispace.com/pdf/determinants-of-longitudinal-adherence-in-smartphone-based-2n8zqa72lw.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses smartphone self‑tracking to study adherence in axial spondyloarthritis, but lacks sensor accuracy validation and long‑term outcome analysis.","The use of interactive mobile and wearable technologies for understanding and managing health conditions is a growing area of interest for patients, health professionals and researchers. Self-tracking technologies such as smartphone apps and wearable devices for measuring symptoms and behaviours generate a wealth of patient-centric data with the potential to support clinical decision making. However, the utility of self-tracking technologies for providing insight into patients' conditions is impacted by poor adherence with data logging. This paper explores factors associated with adherence in smartphone-based tracking, drawing on two studies of patients living with axial spondyloarthritis (axSpA), a chronic rheumatological condition. In Study 1, 184 axSpA patients used the uMotif health tracking smartphone app for a period of up to 593 days. In Study 2, 108 axSpA patients completed a survey about their experience of using self-tracking technologies. We identify six significant correlates of self-tracking adherence, providing insight into the determinants of tracking behaviour. Specifically, our data provides evidence that adherence correlates with the age of the user, the types of tracking devices that are being used (smartphone OS and physical activity tracker), preferences for types of data to record, the timing of interactions with a self-tracking app, and the reported symptom severity of the user. We discuss how these factors may have implications for those designing, deploying or using mobile and wearable tracking technologies to support monitoring and management of chronic diseases.","This paper explores factors associated with adherence in smartphone-based tracking, drawing on two studies of patients living with axial spondyloarthritis (axSpA), a chronic rheumatological condition. Study 1 was a large-scale longitudinal deployment of the uMotif self-tracking app with 184 axSpA patients. Study 2 was an online survey of 108 axSpA patients with self-tracking experience. The studies aimed to identify factors influencing adherence in manually self-reporting data.","The study found that 27% of the variance in adherence was explained by six factors, including age, device type (smartphone OS and physical activity tracker), and average pain level. Older users were more likely to adhere to manual self-tracking. Participants using physical activity tracking devices were more likely to complete daily entries. The paper notes that poor adherence impacts activity monitoring validity and can hinder clinical decision-making. No specific data on long-term health outcomes or sensor accuracy/validity was provided.","The authors note that the paper does not provide a comprehensive account of all adherence determinants, as it's impossible to capture all variations in human behavior and motivation. The quantitative investigation was limited to data available through the app for research purposes. The study also focused on one specific tracking app, and linear models may not accurately characterize non-monotonic relationships between pain and adherence."
"The BREATH-TRACHER 2 Trial: Protocol for a Retrospective Mixed Methods Study to Establish the Utility of a Wearable Device in the Detection of Chronic Obstructive Pulmonary Disease Exacerbations.","https://scispace.com/paper/41442677","2025","Journal Article","JMIR research protocols","Toprak
Hamilton
Kolukisa Birgec
Mullen","10.2196/79503","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12736667/pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses a wearable to detect COPD exacerbations, central to the protocol. No adherence data, accuracy validation, or outcome results are presented.","Acute exacerbations of chronic obstructive pulmonary disease (eCOPD) are a major clinical challenge, often leading to frequent emergency room visits and significantly reducing patients' quality of life. Early detection through wearable devices could facilitate timely interventions at the community level, reducing hospital admissions and disease-related morbidity and mortality.","","",""
"Digital Solutions for the Control of Lifestyle Parameters in Individuals With High Cardiometabolic Risk: a Scoping Review.","https://scispace.com/paper/42115518","2026","Journal Article","Current nutrition reports","Mayol
Tecce
Amatrudo
Russo
Aprano
De Luca
Iaccarino
Illario
Colao
Moscatelli
Vetrani","10.1007/s13668-026-00764-2","","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Mentions wearables for diet/physical activity monitoring in high‑risk groups, but lacks focus on a specific chronic disease device, adherence data, accuracy validation, or extended outcome analysis.","Digital technologies are increasingly used to promote healthier behaviors and prevent noncommunicable diseases (NCDs). Diet and physical activity are key determinants of cardiometabolic health, where digital tools can support self-monitoring and behavior change.","","",""
